Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=c193b65defa6a4ec,Web 개발,Success Korea 서울 중구,,"Server 경험자 - CMS 관리페이지 구축 경험자 [우대사항] - GoLang 개발 경험자 - 가상화, Docker 기술 경험자 - 네트워크... 경험자 [우대사항] - GoLang 개발 경험자 - 가상화, Docker..."
https://kr.indeed.com/viewjob?jk=7eb854201186e5fe,영상보안 코어 연구개발,Success Korea 서울 충무로역 +1 지역,,"관련 코어 개발 [자격요건] - C/C++3년 이상자 - C/C++, Golang, FFMPEG - 다양한 라이브러리 활용 경험 - 코어 라이브러리... 년 이상자 - C/C++, Golang, FFMPEG - 다양한 라이브러리..."
https://kr.indeed.com/viewjob?jk=76152b2fa6809886,Back-end Developer,AITRICS 서울,,"Stacks [Back-end] Language: python, golang Python Framework: Django, Bottle [Front... Language: python, golang Python Framework..."
https://kr.indeed.com/viewjob?jk=7aa63b911b188c1d,"Senior, Back-end Engineer (Observability...",Coupang 2.9 서울,,"2년 이상 (또는 석사 학위 및 경력 1년 이상) 대규모 서비스 인프라 설계, 구축 및 관리 경험 Java, Golang, 분산 시스템 또는 마이크로서비스 사용 경험 협업 능력자; 복잡한 문제를 빠르게 분석/해결 가능한 인재..."
https://kr.indeed.com/viewjob?jk=2ff97545906a0161,Server 개발(O2O 서비스앱),Success Korea 성남 분당구,,정의하고 이끌어 갈 수 있는 분 - Spring Framework 혹은 Golang 서버개발 경력 3년 이상이신 분 - Restful API 디자인에... Spring Framework 혹은 Golang 서버개발 경력 3년 이상이...
https://kr.indeed.com/viewjob?jk=335b6cdc85206ccc,DevOps/MLOps Engineer,AITRICS 서울,,"Stacks [Back-end] Language: python, golang Python Framework: Django, Bottle [Front... Language: python, golang Python Framework..."
https://kr.indeed.com/viewjob?jk=8d4997deddf31083,광고플랫폼 Software Engineer,Success Korea 성남 분당구,,"Scala 등 한 가지 이상 JVM 계열 언어 혹은 C/C++, Golang 등에 숙련되신 분 - 프로파일링으로 성능 튜닝 경험이 많으신 분 - 대용... 계열 언어 혹은 C/C++, Golang 등에 숙련되신 분 - 프로파일링으..."
https://kr.indeed.com/viewjob?jk=86a47dc8924f3275,AD Machine Learning Engine 개발,Success Korea 성남 분당구,,유가 없으신 분 [우대조건] - Golang으로 서비스 개발 경험이 있으... 2차면접 [제출서류] 국문이력서(첨부 양식 사용) 우대조건 - Golang으로 서비스 개발 경험이 있으신 분 - 랭킹 및 추천 엔진 시스템 경험...
https://kr.indeed.com/viewjob?jk=68539861ea661845,영상보안 인공지능(AI)/컴퓨터비전[추가],Success Korea 서울 쌍림동,,"Learning) [우대요건] - 병역 특례 신규, 이직 가능 - Golang 개발 경험 - 영상(MPEG), RTSP 관련 지식 - Docker등... 병역 특례 신규, 이직 가능 - Golang 개발 경험 - 영상(MPEG..."
https://kr.indeed.com/viewjob?jk=e2461a0de4efb67f,Software Engineer - Seoul,MOLOCO 서울 강남구,,second. Current stack consists of proprietary code in Golang as well as Google Cloud Products including Bigtable and BigQuery...
https://kr.indeed.com/viewjob?jk=97d7d9cb5103d9f5,영상보안[백엔드],Success Korea 서울 쌍림동,,"3년 이상 - 개발 환경 : Golang, C++, SQL, Docker... 제출서류]국문이력서 자격요건 - 경력 3년 이상 - 개발 환경 : Golang, C++, SQL, Docker 등 [우대요건] - RTSP 관련..."
https://kr.indeed.com/viewjob?jk=0c32e6464cad3b0a,[카카오 클라우드]DBaaS(DataBase As A Service) 개...,카카오 4.0 성남 판교역,,"운영 및 유지 보수 지원자격 필수 자격 협업을 우선 가치로 유연한 커뮤니케이션이 가능하신 분 golang, python 등으로 API 기반 서비스를 구현해본 경험이 있으신 분 서비스 요구 사항을 기능으로 구현할 수..."
https://kr.indeed.com/viewjob?jk=3cf01580ba5eb23a,NLP Researcher,AITRICS 서울,,"Stacks [Back-end] Language: python, golang Python Framework: Django, Bottle [Front... Language: python, golang Python Framework..."
https://kr.indeed.com/viewjob?jk=c2f271fbd2fa95e7,Software Engineer Intern,MOLOCO 서울 강남구,,second. Current stack consists of proprietary code in Golang as well as Google Cloud Products including Bigtable and BigQuery...
https://kr.indeed.com/viewjob?jk=87837b22b2d66b12,[Search] 동영상 검색 백엔드 개발 신입/경력,네이버 서울,,"련검색어, 관련동영상 등 추천 기술 개발 [ 자격요건 ] · Python, C++, Scala, Java, Golang 등의 백엔드 개발 언어를 2개 이상 자유롭게 활용 가능하신 분 · Spark, HBase, Hadoop..."
https://kr.indeed.com/viewjob?jk=bc449986728f7bdb,국내 대기업 - cloud 가상화 개발 경력자,라피플코리아리미티드 서울,,"RDP 등 Desktop 전송 프로토콜 분석 - C/C++, GoLang 등 개발 언어 가능자 - AWS / MS Azure / Citrix... 프로토콜 분석 - C/C++, GoLang 등 개발 언어 가능자 - AWS..."
https://kr.indeed.com/viewjob?jk=5d2bbe4c649db4f4,DevOps Engineer,Toss 서울 강남구,,"및 운영 # 자격 요건 - 4년 이상의 소프트웨어 엔지니어링 혹은 시스템 운영 경험이 있으신 분 - C, Golang, Python, Javascript 중 하나 이상의 언어에 능숙하신 분 - 대규모의 분산환경에서 ELK..."
https://kr.indeed.com/viewjob?jk=c52b13ca64b943c1,솔루션 엔지니어 (Network Infra),글로벌 네트워크 회사 서울 강남구,"연봉 80,000,000원 - 120,000,000원","Microsoft Service) * Programming (Python, JavaScript, Golang etc.) 근무 형태: 정규직 급여: 80,000,000원 - 120,000,000원 연봉 경력..."
https://kr.indeed.com/viewjob?jk=f9dcc4b277dfcebc,[Search] [Vision] Computer Vision Engine...,네이버 서울,,"이미지 / 동영상 검색 , 비주얼 커머스 서비스 고도화에 기여 [자격요건] · Python, C++, Golang, Scala 등의 백엔드 개발 언어를 1 개 이상 자유롭게 활용 가능한 분 · Hadoop, Spark 등을..."
https://kr.indeed.com/viewjob?jk=a5f72db70e317024,콘텐츠 구독 서비스 개발자 모집,카카오 4.0 성남 판교역,,"Cassandra, HBase, MongoDB 등)기반 개발 경험 소셜 네트워크나 구독 기반 서비스 개발 경험 golang 기반 웹서비스 개발 경험 데이터 처리 프레임웍(Hadoop, Spark, kafka, ELK 등..."
https://kr.indeed.com/viewjob?jk=7b04030358d701b1,[서울시뉴딜] 디지털사이니지 · 실감콘텐츠 분야 전문인력 양성 교육 /...,스마트미디어산업진흥협회 서울,,"+ 심화 과정3 UI/UX, 그래픽툴 등 (120시간) 공통I + 공통II + 심화 과정4 JS, Git, Golang, SQL, Fiber 프레임워크 등 (120시간) 공통I + 심화 교육대상 (과정1) 디지털사이니지 사업..."
https://kr.indeed.com/viewjob?jk=a4d0010abd5935ea,(연 3000만 이상) aws 시스템엔지니어(Amazone web ser...,메먼트 서울 강남구,"연봉 30,000,000원 - 35,000,000원","private cloud 를 통한 폐쇄망 구축 경험 *자동화 script ( bash, python, golang등) 개발운영 경험 우대사항 *다양한 트러블 슈팅 경험 (장애 프로파일링) *대용량 트래픽 분산처리 경험..."
https://kr.indeed.com/viewjob?jk=c58df1061d490778,[카카오 클라우드] 컨테이너 클라우드 개발자 모집,카카오 4.0 성남 판교역,,"개발/운영하고 있고, 이 또한 오픈소스 로 공개되어 있습니다. 현재는 golang 버전으로 전환하여 서비스 중입니다. 저희 조직의 개발 문화와 팀... 슈팅 경험 퍼블릭 클라우드 사용 경험 golang, react, shell..."
https://kr.indeed.com/viewjob?jk=b03599413eff0e3d,웹 개발 및 서버 인프라 담당자,이든 서울 송파구,"연봉 28,000,000원 - 30,000,000원","인프라 관리 및 서비스 아키텍처 설계 운영 ㆍ네트워크 및 시스템 모니터링 자격요건 ㆍJava, Python, GoLang, PHP 중 하나이상의 언어 경험자 ㆍ서버 네트워크에 대한 이해 ㆍ학력 : 학력무관 ㆍ경력 : 경력2년..."
https://kr.indeed.com/viewjob?jk=b0363f98a9e40b13,"Python 경력 개발자 (또는 Golang, 경력5년이상)",피넛테크 서울 강남구,"연봉 40,000,000원 - 65,000,000원","자격요건] 1. 학력 : 무관 2. 경력 : 경력 5년 이상 [필수역량] 1. Python 개발자 (or Golang 개발자 가능) 2. 분산처리로 대용량 데이터 수집, 분석 경험 [우대조건] 1. AWS 경험자 (AWS..."
https://kr.indeed.com/viewjob?jk=fe3a28308f8fd6c7,블록체인 서비스 백엔드 개발자 (경력),네오위즈 대한민국,,"년 이상의 서버 개발 경력 또는 이에 준하는 실력이나 경험을 갖춘 분 - Javascript(Nodejs), Golang 언어로 서비스를 만들어 본 경험이 있는 분 - Linux 환경에서 서버 유지/보수 업무를 수행한 경험이..."
https://kr.indeed.com/viewjob?jk=04d685fc70b67d4e,Linux/Python/PHP/MySQL/백엔드 정규직 경력,일루미나리안 용인 보정동,,"python, OOP 언어 중 가능자 - Back-End 서버를 개발해 보신 분 [우대사항] - Go(aka GoLang), Swift, Android(Java), PHP, Angular - DB 이해도가 높고, SQL..."
https://kr.indeed.com/viewjob?jk=3ff958a8a968eba9,[PUBG: NEW STATE] Server Programmer,PUBG 서울,,"이해 - 한국어로 원활한 의사소통이 가능하신 분 - 해외 여행에 결격 사유가 없으신 분 [우대 사항] - Golang 혹은 C/C++을 활용한 프로덕션 레벨 프로그래밍 경험 - 클라우드 플랫폼(Azure, AWS, GCP..."
https://kr.indeed.com/viewjob?jk=383d4c8a7156b52b,[카카오 클라우드] 카카오 클라우드 콘솔(포탈) 서버 개발자 모집,카카오 4.0 성남 판교역,,"자격 [기본 조건] 전산학/컴퓨터 공학 전공 또는 동등의 학력을 가지신 분 개발 경력 3년 이상 Java, Golang 중 한 가지 언어를 능숙하게 사용할 수 있으신 분 웹서비스를 구성하는 기술에 대한 이해 클라우드 서비스..."
https://kr.indeed.com/viewjob?jk=eb96832ac48c9f81,[카카오 클라우드] 어플리케이션플랫폼(APAAS) 서버 개발자 모집,카카오 4.0 성남 판교역,,"관심 있으신 분 Golang, Java 중 한 가지 언어를 능숙하게 사용할 수 있으신 분 하나 이상의 DBMS 사용 경험이 있으신 분 [우대사항] 서비스의 전체적인 아키텍처를 설계하실 수 있는 분 Golang 개발에 익숙..."
https://kr.indeed.com/viewjob?jk=5123207a169f90eb,Lead AI Platform Developer,AITRICS 서울,,"Stacks [Back-end] Language: python, golang Python Framework: Django, Bottle [Front... Language: python, golang Python Framework..."
https://kr.indeed.com/viewjob?jk=91aa3bd221ee815b,AI Service Planning/Business Development,AITRICS 서울,,"Stacks [Back-end] Language: python, golang Python Framework: Django, Bottle [Front... Language: python, golang Python Framework..."
https://kr.indeed.com/viewjob?jk=f86fdfddd2f48e73,cloud 가상화 개발 경력자,국내 대기업 서울,,"및 Hypervisor에 대한 이해 - SPICE/RDP 등 Desktop 전송 프로토콜 분석 - C/C++, GoLang 등 개발 언어 가능자 - AWS / MS Azure / Citrix / VMware / Google..."
https://kr.indeed.com/viewjob?jk=f97d8d627c3d7362,Infra Software Engineer,Toss 서울 강남구,,"경험이 있는 분 - Software-intensive system의 구조 설계 경험이 있는 분 - C, Golang, Python, Javascript 중 하나 이상의 언어에 능숙하신 분 # 우대 사항 - 다양한 기반 기술에..."
https://kr.indeed.com/viewjob?jk=0fb5acdbc8a15af9,Principal Solutions Integration Develope...,Nuance 서울,,Languages (at least 3... following) Java Python C / C++ Golang Javascript / Node.js React / Vue.js / Angular Spring...
https://kr.indeed.com/viewjob?jk=8cfba12674f9f025,Lead Medical AI SW Developer,AITRICS 서울,,"Stacks [Back-end] Language: python, golang Python Framework: Django, Bottle [Front... Language: python, golang Python Framework..."
https://kr.indeed.com/viewjob?jk=bb3f79a8ca7cfc2f,Backend golang 개발,Success Korea 성남 판교역,,"채용제목 Backend golang 개발 회사소개 CAR 인포테인먼트 업무내용/자격요건 자격요건 - 기본 지식 : ssl, 네트워크 기본지식 필수 - Server language : golang(필수), Java..."
https://kr.indeed.com/viewjob?jk=a25e09cf5d803404,Solutions Engineer (과장 ~ 부장급),Cloud Security & Application 서울 강남구,"연봉 80,000,000원 - 100,000,000원","OpenShipft, Kubernetes) Programming (Python, JavaScript, Golang etc.) 근무 형태: 정규직 급여: 80,000,000원 - 100,000,000원 연봉 경력..."
https://kr.indeed.com/viewjob?jk=b18fa310f705ed6d,[공통기술부문] 클라우드플랫폼 개발자,우아한 형제들 서울 송파구,,"활용한 개발 경험이 있으신 분 - Java, Kotlin, Javascript, Typescript, Golang, Python 중 1개 이상의 언어에 능숙하신 분 - 우아한형제들의 개발 문화에 동의하시는 분 1) 우리는..."
https://kr.indeed.com/viewjob?jk=6b65a5a35da64ed3,[카카오 클라우드] 클라우드 개발자(Monitoring as a Serv...,카카오 4.0 성남 판교역,,"운영을 해보신 분 요구사항이 정해진 시스템에 대해 전반적인 설계와 협업을 통한 개발이 가능하신 분 java, golang, python 중 한 가지 언어를 능숙하게 사용할 수 있으신 분 업무 내용에 정리된 Opensource..."
https://kr.indeed.com/viewjob?jk=8da5c72baf146123,Site Engineer (Seoul),Motion2AI 서울,,분을 찾고 있습니다. 지원자격 필수조건 Linux/Windows 시스템 능숙 C++/Python/ Golang 등 코드 컴파일 및 디버깅 경험 우대조건 물류관련 프로젝트 경험 CS 및 관련 학과 출신 PostgreSQL...
